input,summary
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",<triplet> food <opinion> tasty <sentiment> positive <opinion> fresh <sentiment> positive <opinion> refilled <sentiment> positive
"I am not a vegetarian but , almost all the dishes were great .",<triplet> dishes <opinion> great <sentiment> positive
"The food here is rather good , but only if you like to wait for it .",<triplet> food <opinion> good <sentiment> positive
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda disappointing .",<triplet> somosas <opinion> like <sentiment> positive <triplet> chai <opinion> like <sentiment> positive <triplet> chole <opinion> like <sentiment> positive <triplet> dhosas <opinion> disappointing <sentiment> negative <triplet> dhal <opinion> disappointing <sentiment> negative
"The service varys from day to day- sometimes they 're very nice , and sometimes not .",<triplet> service <opinion> varys <sentiment> negative
"Also , specify if you like your food spicy- its rather bland if you do n't .",<triplet> food <opinion> bland <sentiment> negative
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",<triplet> ambience <opinion> pretty <sentiment> positive <opinion> nice <sentiment> positive
The lava cake dessert was incredible and I recommend it .,<triplet> lava cake dessert <opinion> incredible <sentiment> positive <opinion> recommend <sentiment> positive
"Once you step into Cosette , you 're miraculously in a small , off-the-beaten path Parisian bistro .",<triplet> Cosette <opinion> off-the-beaten <sentiment> positive
"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",<triplet> restaurant <opinion> tiny <sentiment> positive <opinion> cozy <sentiment> positive
The pizza was delivered cold and the cheese was n't even fully melted !,<triplet> pizza <opinion> cold <sentiment> negative <triplet> cheese <opinion> was n't even fully melted <sentiment> negative
The pizza is overpriced and soggy .,<triplet> pizza <opinion> overpriced <sentiment> negative <opinion> soggy <sentiment> negative
"Yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",<triplet> ingredients <opinion> fancy <sentiment> positive <triplet> pizza <opinion> good <sentiment> negative
I think I 've had some the best meals of my life at minnow .,<triplet> meals <opinion> best <sentiment> positive
"The seafood is amazing , there 's a good wine list , and the ever-changing menu always offers some great surprises .",<triplet> seafood <opinion> amazing <sentiment> positive <triplet> wine list <opinion> good <sentiment> positive <triplet> menu <opinion> ever-changing <sentiment> positive <opinion> great surprises <sentiment> positive
The combination of super-fresh ingredients in the dishes are unusual but really delicious .,<triplet> ingredients <opinion> super-fresh <sentiment> positive <opinion> delicious <sentiment> positive
Best Pastrami I ever had and great portion without being ridiculous .,<triplet> Pastrami <opinion> Best <sentiment> positive <triplet> portion <opinion> great <sentiment> positive
My wife had the fried shrimp which are huge and loved it .,<triplet> fried shrimp <opinion> huge <sentiment> positive <opinion> loved <sentiment> positive
"As a Japanese native , I 've lived in the Tristate area for over 8 years , but I was just so amazed at this place .",<triplet> place <opinion> amazed <sentiment> positive
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",<triplet> signs <opinion> Japanese <sentiment> positive <triplet> specials menus <opinion> Japanese <sentiment> positive <triplet> food <opinion> Japanese <sentiment> positive <triplet> waitstaff <opinion> Japanese <sentiment> positive
This place is worth an one-hour drive .,<triplet> place <opinion> worth <sentiment> positive
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",<triplet> staff <opinion> enjoy <sentiment> positive <opinion> young <sentiment> positive <opinion> not always well trained <sentiment> positive <opinion> friendly <sentiment> positive
Decent wine at reasonable prices .,<triplet> wine <opinion> Decent <sentiment> positive
This is by far my favorite place in the neighborhood .,<triplet> place <opinion> favorite <sentiment> positive
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",<triplet> service <opinion> excellent <sentiment> positive <triplet> decor <opinion> great <sentiment> positive <triplet> food <opinion> delicious <sentiment> positive <triplet> portions <opinion> large <sentiment> positive
I 'm partial to the Gnocchi .,<triplet> Gnocchi <opinion> partial <sentiment> positive
This place is incredibly tiny .,<triplet> place <opinion> tiny <sentiment> negative
The hostess is rude to the point of being offensive .,<triplet> hostess <opinion> rude <sentiment> negative <opinion> offensive <sentiment> negative
"We have been to this place many times , and always have great food , wine , and service .",<triplet> food <opinion> great <sentiment> positive <triplet> wine <opinion> great <sentiment> positive <triplet> service <opinion> great <sentiment> positive
"We were worried we would have trouble getting in , but somehow managed to have a short wait .",<triplet> wait <opinion> short <sentiment> positive
As always we had a great glass of wine while we waited .,<triplet> glass of wine <opinion> great <sentiment> positive
"When we sat , we got great and fast service .",<triplet> service <opinion> great <sentiment> positive <opinion> fast <sentiment> positive
The people that work there are always so friendly you forget you are in New York sometimes .,<triplet> people <opinion> friendly <sentiment> positive
Make sure you try this place as often as you can .,<triplet> place <opinion> try <sentiment> positive
This is a fun restaurant to go to .,<triplet> restaurant <opinion> fun <sentiment> positive
The pizza is yummy and I like the atmoshpere .,<triplet> pizza <opinion> yummy <sentiment> positive <triplet> atmoshpere <opinion> like <sentiment> positive
But the pizza is way to expensive .,<triplet> pizza <opinion> expensive <sentiment> negative
Sauce was watery and the food did n't have much flavor .,<triplet> Sauce <opinion> watery <sentiment> negative
This place is great .,<triplet> place <opinion> great <sentiment> positive
The waitress was very patient with us and the food is phenomenal !,<triplet> waitress <opinion> patient <sentiment> positive <triplet> food <opinion> phenomenal <sentiment> positive
"Service was prompt , friendly and great .",<triplet> Service <opinion> prompt <sentiment> positive <opinion> friendly <sentiment> positive <opinion> great <sentiment> positive
Great pizza and fantastic service .,<triplet> pizza <opinion> Great <sentiment> positive <triplet> service <opinion> fantastic <sentiment> positive
"There was a small wait , but shorter than I expected .",<triplet> wait <opinion> small <sentiment> positive <opinion> shorter <sentiment> positive
This is the best sushi in new york city - hands down .,<triplet> sushi <opinion> best <sentiment> positive
"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too .",<triplet> sushi <opinion> great <sentiment> positive <triplet> thai food <opinion> excellent <sentiment> positive <triplet> Planet Thailand <opinion> hit <sentiment> positive
"With the great variety on the menu , I eat here often and never get bored .",<triplet> menu <opinion> great variety <sentiment> positive
"The atmosphere is n't the greatest , but I suppose that 's how they keep the prices down .",<triplet> atmosphere <opinion> is n't the greatest <sentiment> negative
"Try the crunchy tuna , it is to die for .",<triplet> crunchy tuna <opinion> Try <sentiment> positive <opinion> die for <sentiment> positive
First went here to enjoy their garden terrace .,<triplet> garden terrace <opinion> enjoy <sentiment> positive
"The food was amazing , and the service was prompt and helpful , but not over-bearing or rushed .",<triplet> food <opinion> amazing <sentiment> positive <triplet> service <opinion> prompt <sentiment> positive <opinion> helpful <sentiment> positive <opinion> not over-bearing or rushed <sentiment> positive
"The Steak Tartare is a great bet , they fix it for you at the table .",<triplet> Steak Tartare <opinion> great <sentiment> positive
"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",<triplet> vibe <opinion> good <sentiment> positive <triplet> French food <opinion> best <sentiment> positive
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",<triplet> crust <opinion> best <sentiment> positive
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",<triplet> neighborhood <opinion> great <sentiment> positive <triplet> food <opinion> great <sentiment> positive
I 'd highly recommend it for a special occasion -- it provides and intimate setting and nice service .,<triplet> setting <opinion> intimate <sentiment> positive <triplet> service <opinion> nice <sentiment> positive
I 'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much ... and we 're repeat customers .,<triplet> Mizu <opinion> enjoy <sentiment> positive
"Moules were excellent , lobster ravioli was VERY salty !",<triplet> Moules <opinion> excellent <sentiment> positive <triplet> lobster ravioli <opinion> salty <sentiment> negative
"Took my mom for Mother 's Day , and the maitre d ' was pretty rude .",<triplet> maitre d ' <opinion> rude <sentiment> negative
Tiny dessert was $ 8.00 ... just plain overpriced for what it is .,<triplet> dessert <opinion> Tiny <sentiment> negative <opinion> overpriced <sentiment> negative
The drinks are always well made and wine selection is fairly priced .,<triplet> drinks <opinion> well made <sentiment> positive <triplet> wine selection <opinion> fairly priced <sentiment> positive
Try their chef 's specials -- they are to die for .,<triplet> chef 's specials <opinion> Try <sentiment> positive <opinion> die for <sentiment> positive
Downstairs lounge is always a good attraction,<triplet> Downstairs lounge <opinion> good attraction <sentiment> positive
"Raga 's is a romantic , cozy restaurant .",<triplet> Raga 's <opinion> romantic <sentiment> positive <opinion> cozy <sentiment> positive
The exotic food is beautifully presented and is a delight in delicious combinations .,<triplet> exotic food <opinion> beautifully presented <sentiment> positive <opinion> delight <sentiment> positive
The staff is incredibly helpful and attentive .,<triplet> staff <opinion> helpful <sentiment> positive <opinion> attentive <sentiment> positive
The bar is very well stocked with interesting beers and well priced wines .,<triplet> bar <opinion> well stocked <sentiment> positive <triplet> beers <opinion> interesting <sentiment> positive <triplet> wines <opinion> well priced <sentiment> positive
"Rude service , medicore food ... there are tons of restaurants in NY ... stay away from this one",<triplet> service <opinion> Rude <sentiment> negative <triplet> food <opinion> medicore <sentiment> neutral
I had a great time at Jekyll and Hyde !,<triplet> Jekyll and Hyde <opinion> great time <sentiment> positive
I loved everythig about it-especially the shows and actors .,<triplet> shows <opinion> loved <sentiment> positive <triplet> actors <opinion> loved <sentiment> positive
Our server was very helpful and friendly .,<triplet> server <opinion> helpful <sentiment> positive <opinion> friendly <sentiment> positive
The food was good too .,<triplet> food <opinion> good <sentiment> positive
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,<triplet> outdoor atmosphere <opinion> wonderful <sentiment> positive
"Great service , great food .",<triplet> service <opinion> Great <sentiment> positive <triplet> food <opinion> great <sentiment> positive
"Two complaints -- their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",<triplet> appetizer selection <opinion> complaints <sentiment> negative
Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,<triplet> Wait staff <opinion> unappreciative <sentiment> negative <triplet> pie <opinion> best <sentiment> positive
By far the best salad I have had in a fast food restaurant .,<triplet> salad <opinion> best <sentiment> positive
fine dining restaurant quality .,<triplet> dining <opinion> fine <sentiment> positive
"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT .",<triplet> restaurant <opinion> great <sentiment> positive
"The chicken pot pie is exceptional , the cheeseburger huge and delictable , and the service professional wan warm .",<triplet> chicken pot pie <opinion> exceptional <sentiment> positive <triplet> cheeseburger <opinion> huge <sentiment> positive <opinion> delictable <sentiment> positive <triplet> service <opinion> professional <sentiment> positive <opinion> warm <sentiment> positive
The staff is no nonsense .,<triplet> staff <opinion> no nonsense <sentiment> positive
When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .,<triplet> bagels <opinion> better <sentiment> positive
Worth visiting the 1st Ave spot because it is the original store .,<triplet> 1st Ave spot <opinion> Worth visiting <sentiment> positive
"He served me an Uni Hand roll , which I never had before , and let me tell you ... IT WAS HEAVEN !",<triplet> Uni Hand roll <opinion> HEAVEN <sentiment> positive
The sake menu should not be overlooked !,<triplet> sake menu <opinion> overlooked <sentiment> positive
"Service was very good - prompt , attentive and non-intrusive .",<triplet> Service <opinion> good <sentiment> positive <opinion> prompt <sentiment> positive <opinion> attentive <sentiment> positive <opinion> non-intrusive <sentiment> positive
"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt-in-your-mouth experience ) .",<triplet> Food <opinion> good <sentiment> positive
Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,<triplet> Traditional French decour <opinion> pleasant <sentiment> positive <triplet> hall <opinion> noisy <sentiment> negative
"I 've been to at Cafe Spice probably 5-8 times , it is probably still the best Indian restaurant around Union Square .",<triplet> Cafe Spice <opinion> best <sentiment> positive
"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .",<triplet> Service <opinion> varies <sentiment> neutral
"Seating is always prompt , though the restaurant does fill up in the evening .",<triplet> Seating <opinion> prompt <sentiment> positive
"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",<triplet> Food <opinion> good <sentiment> positive <triplet> raw vegatables in side orders <opinion> wondered about freshmess <sentiment> negative
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .",<triplet> decor <opinion> vibrant <sentiment> positive <opinion> eye-pleasing <sentiment> positive <triplet> semi-private boths <opinion> eye-pleasing <sentiment> positive <opinion> great <sentiment> positive
It 's simply the best meal in NYC .,<triplet> meal <opinion> best <sentiment> positive
"If we were to move from the upper east side , we would genuinely miss this restaurant .",<triplet> restaurant <opinion> miss <sentiment> positive
The restaurant is cute but not upscale .,<triplet> restaurant <opinion> cute <sentiment> neutral <opinion> not upscale <sentiment> neutral
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes .,<triplet> food <opinion> diamond <sentiment> positive <triplet> balance of herbs and tomatoes <opinion> perfect <sentiment> positive
We had a great time at the Jekyll and hyde Pub last night .,<triplet> Jekyll and hyde Pub <opinion> great time <sentiment> positive
After really enjoying ourselves at the bar we sat down at a table and had dinner .,<triplet> bar <opinion> enjoying <sentiment> positive
The server was really cool and served us our food and drinks with a smile .,<triplet> server <opinion> cool <sentiment> positive
The place 's decor and hidden bathrooms made for a good laugh .,<triplet> decor <opinion> good laugh <sentiment> positive <triplet> hidden bathrooms <opinion> good laugh <sentiment> positive
I highly recommend visiting this restaurant and having dinner and drinks !,<triplet> restaurant <opinion> recommend <sentiment> positive
"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",<triplet> place <opinion> great <sentiment> positive
"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",<triplet> beers <opinion> happy <sentiment> positive <triplet> food <opinion> delicious <sentiment> positive <triplet> pumkin tortelini <opinion> recommend <sentiment> positive
The entertainment was great they have shows that go on through out the dinner .,<triplet> entertainment <opinion> great <sentiment> positive
The bagel was huge .,<triplet> bagel <opinion> huge <sentiment> positive
This was my frist time at Cafe St. Bart 's and I must say how delicious the food and the service was .,<triplet> food <opinion> delicious <sentiment> positive
"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",<triplet> pizza <opinion> enjoyed <sentiment> positive <triplet> santa fe chopped salad <opinion> enjoyed <sentiment> positive <triplet> fish and chips <opinion> enjoyed <sentiment> positive
"I highly recommend Cafe St. Bart 's for their food , the ambience and wonderful service .",<triplet> food <opinion> recommend <sentiment> positive <triplet> ambience <opinion> recommend <sentiment> positive <triplet> service <opinion> recommend <sentiment> positive <opinion> wonderful <sentiment> positive
All the staff is absolutely professional ! !,<triplet> staff <opinion> professional <sentiment> positive
This restaurant was way overhyped .,<triplet> restaurant <opinion> overhyped <sentiment> negative
My chow fun and chow see was really bland and oily .,<triplet> chow fun and chow see <opinion> bland <sentiment> negative <opinion> oily <sentiment> negative
The service was the only thing good about this restaurant .,<triplet> service <opinion> good <sentiment> positive
"It 's boring on the inside , and our sushi was pretty below average ... the tuna was soggy and the other rolls had no flavor .",<triplet> sushi <opinion> below average <sentiment> negative <triplet> tuna <opinion> soggy <sentiment> negative <triplet> rolls <opinion> no flavor <sentiment> negative
Their pad penang is delicious and everything else is fantastic .,<triplet> pad penang <opinion> delicious <sentiment> positive
The price is reasonable although the service is poor .,<triplet> service <opinion> poor <sentiment> negative
fresh restaurant was amazing ... ... .. food was delicious and of course fresh .,<triplet> fresh restaurant <opinion> fresh <sentiment> positive <opinion> amazing <sentiment> positive <triplet> food <opinion> delicious <sentiment> positive <opinion> fresh <sentiment> positive
Hats off to the chef .,<triplet> chef <opinion> Hats off <sentiment> positive
"the salads are delicious , both refreshing and very spicy .",<triplet> salads <opinion> delicious <sentiment> positive <opinion> refreshing <sentiment> positive <opinion> spicy <sentiment> positive
We had Pam 's special fried fish and it was amazing .,<triplet> Pam 's special fried fish <opinion> amazing <sentiment> positive
"Great vibe , lots of people .",<triplet> vibe <opinion> Great <sentiment> positive
"I did n't complain , I liked the atmosphere so much .",<triplet> atmosphere <opinion> liked <sentiment> positive
"Ambience is so cute and quaint , good for business although we were there on vacation .",<triplet> Ambience <opinion> cute <sentiment> positive <opinion> quaint <sentiment> positive <opinion> good <sentiment> positive
Although we were looking for regular lettuce and some walnuts the salads we got were great .,<triplet> salads <opinion> great <sentiment> positive
Ingredients are organic which is a real plus for me .,<triplet> Ingredients <opinion> organic <sentiment> positive <opinion> plus <sentiment> positive
"This is some really good , inexpensive sushi .",<triplet> sushi <opinion> good <sentiment> positive <opinion> inexpensive <sentiment> positive
The spicy Tuna roll is huge and probably the best that I 've had at this price range .,<triplet> spicy Tuna roll <opinion> huge <sentiment> positive <opinion> best <sentiment> positive
The Yellowtail was particularly good as well .,<triplet> Yellowtail <opinion> good <sentiment> positive
"I have reservations about the all you can eat deal , however -- the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",<triplet> all you can eat deal <opinion> limited <sentiment> negative
Big Wong gets big Ups for a fine establishment .,<triplet> Big Wong <opinion> big Ups <sentiment> positive <opinion> fine <sentiment> positive
"They have it all -- great price , food , and service .",<triplet> food <opinion> great <sentiment> positive <triplet> service <opinion> great <sentiment> positive
The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,<triplet> atmosphere <opinion> noisy <sentiment> negative <triplet> waiters <opinion> fast <sentiment> positive
This place is always very crowded and popular .,<triplet> place <opinion> crowded <sentiment> positive <opinion> popular <sentiment> positive
Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese ... .both very tasty .,<triplet> Caesar Salad <opinion> Enjoyed <sentiment> positive <opinion> nice <sentiment> positive <triplet> arugula and goat cheese <opinion> tasty <sentiment> positive
We both opted for a pasta dish and they were served timely and fresh .,<triplet> pasta dish <opinion> served timely <sentiment> positive <opinion> fresh <sentiment> positive
"We concluded with tiramisu chocolate cake , both were delicious .",<triplet> tiramisu chocolate cake <opinion> delicious <sentiment> positive
I recently went to this restaurant with some co-workers for lunch and had an amazing time .,<triplet> restaurant <opinion> amazing time <sentiment> positive
sometimes i get good food and ok service .,<triplet> food <opinion> good <sentiment> positive <triplet> service <opinion> ok <sentiment> neutral
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",<triplet> food <opinion> bad <sentiment> negative <triplet> service <opinion> bad <sentiment> negative <triplet> good <opinion> good <sentiment> positive
And evaluated on those terms Pastis is simply wonderful .,<triplet> Pastis <opinion> wonderful <sentiment> positive
Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,<triplet> raddichio <opinion> bitter <sentiment> negative
My friend got the mushroom pizza which tasted better .,<triplet> mushroom pizza <opinion> better <sentiment> positive
The sangria was pretty tasty and good on a hot muggy day .,<triplet> sangria <opinion> tasty <sentiment> positive <opinion> good <sentiment> positive
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids .,<triplet> place <opinion> small <sentiment> neutral
I started out with a Bombay beer which was big enough for two .,<triplet> Bombay beer <opinion> big <sentiment> positive
"Service was slow , but the people were friendly .",<triplet> Service <opinion> slow <sentiment> negative <triplet> people <opinion> friendly <sentiment> positive
The food is authentic Italian - delicious !,<triplet> food <opinion> authentic Italian <sentiment> positive <opinion> delicious <sentiment> positive
"Pizza is terrific , as is homemade pasta .",<triplet> Pizza <opinion> terrific <sentiment> positive <triplet> homemade pasta <opinion> terrific <sentiment> positive
"Ambience is delightful , service impeccable .",<triplet> Ambience <opinion> delightful <sentiment> positive <triplet> service <opinion> impeccable <sentiment> positive
I 'm still mad that i had to pay for lousy food .,<triplet> food <opinion> lousy <sentiment> negative
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,<triplet> hanger steak <opinion> rubber <sentiment> negative <triplet> tuna <opinion> flavorless <sentiment> negative
Service was also horrible and the ambience is not that great .,<triplet> Service <opinion> horrible <sentiment> negative <triplet> ambience <opinion> not that great <sentiment> negative
It 's a small cute restaurant .,<triplet> restaurant <opinion> small cute <sentiment> positive
I absolutely love this place ! ! !,<triplet> place <opinion> love <sentiment> positive
We wo n't go to this place again for a good meal .,<triplet> meal <opinion> good <sentiment> negative
"However , I think this place is a good hang out spot .",<triplet> place <opinion> good <sentiment> positive
THe Pizza and wine were excellent -- the service too -- but what really MADE this place was the backyard dining area .,<triplet> Pizza <opinion> excellent <sentiment> positive <triplet> wine <opinion> excellent <sentiment> positive <triplet> service <opinion> excellent <sentiment> positive
It is one the nicest outdoor restaurants I have ever seen in NY -- I am from Italy and this place rivals the ones in my country .,<triplet> outdoor restaurants <opinion> nicest <sentiment> positive
"First of all , this place is *not* romantic , as claimed by Citysearch 's editorial review .",<triplet> place <opinion> *not* romantic <sentiment> negative
"The tables are crammed way too close , the menu is typical of any Italian restaurant , and the wine list is simply overpriced .",<triplet> tables <opinion> crammed <sentiment> negative <opinion> too close <sentiment> negative <triplet> menu <opinion> typical <sentiment> neutral <triplet> wine list <opinion> overpriced <sentiment> negative
Slightly above average wines start at $ 70+ with only one selection listed at $ 30+ .,<triplet> wines <opinion> above average <sentiment> negative
Service is not what one would expect from a joint in this price category .,<triplet> Service <opinion> not what one would expect <sentiment> negative
Somehow working the italian charm with constant mille grazie does not constitute proper service .,<triplet> service <opinion> not constitute proper <sentiment> negative
Not one of our meals was edible - bland and/or made with weird rosemary or orange flavoring .,<triplet> meals <opinion> edible <sentiment> negative <triplet> rosemary or orange flavoring <opinion> weird <sentiment> negative
Fish was overdone .,<triplet> Fish <opinion> overdone <sentiment> negative
"Cute place , nice wait staff but would never go there again .",<triplet> wait staff <opinion> nice <sentiment> positive <triplet> place <opinion> Cute <sentiment> negative
Someone else recommended the dessert - we also left that .,<triplet> dessert <opinion> recommended <sentiment> negative
"Skip this restaurant , it 's a big disappointment .",<triplet> restaurant <opinion> Skip <sentiment> negative <opinion> disappointment <sentiment> negative
Myagi is one of my favorite restaurants in the City ; the place the negative reviews describe sound like they were somewhere else .,<triplet> Myagi <opinion> favorite <sentiment> positive
I 've never had bad service and the fish is fresh and delicious .,<triplet> service <opinion> never had bad <sentiment> positive <triplet> fish <opinion> fresh <sentiment> positive <opinion> delicious <sentiment> positive
Their tuna tartar appetizer is to die for .,<triplet> tuna tartar appetizer <opinion> die for <sentiment> positive
"I come from a family of pizzeria owners , and I 'm almost ashamed to say that the pizza in Fornino 's blows my families receipies away .",<triplet> pizza <opinion> ashamed <sentiment> positive
The place is so cool and the service is prompt and curtious .,<triplet> service <opinion> prompt <sentiment> positive <opinion> curtious <sentiment> positive <triplet> place <opinion> cool <sentiment> positive
I highly recommend to anyone to give this place a try .,<triplet> place <opinion> recommend <sentiment> positive
A restaurant that does n't try to do anything except serve great food with great service in a pleasant atmosphere .,<triplet> food <opinion> great <sentiment> positive <triplet> service <opinion> great <sentiment> positive <triplet> atmosphere <opinion> pleasant <sentiment> positive
The dining room is quietly elegant with no music to shout over -- how refreshing !,<triplet> dining room <opinion> elegant <sentiment> positive <opinion> refreshing <sentiment> positive
"The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu , present your meal , and attend to your needs .",<triplet> service <opinion> impeccable <sentiment> positive <opinion> unobtrusive <sentiment> positive
"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",<triplet> meal <opinion> real <sentiment> positive <triplet> restaurant <opinion> real <sentiment> positive
The view is breathtaking the service is top notch ... the ambiance is wonderful .,<triplet> view <opinion> breathtaking <sentiment> positive <triplet> service <opinion> top notch <sentiment> positive <triplet> ambiance <opinion> wonderful <sentiment> positive
The staff offers impeccable service .,<triplet> staff <opinion> impeccable <sentiment> positive
My boyfriend had the New England Chowder it was good but I think the award should go to the Lobster Bisque .,<triplet> New England Chowder <opinion> good <sentiment> positive <triplet> Lobster Bisque <opinion> award <sentiment> positive
My boyfriend had Prime Rib it was good .,<triplet> Prime Rib <opinion> good <sentiment> positive
If you like spicy food get the chicken vindaloo .,<triplet> chicken vindaloo <opinion> get <sentiment> positive
Go to Volare for 1st class service and terrific food .,<triplet> service <opinion> 1st class <sentiment> positive <triplet> food <opinion> terrific <sentiment> positive
The portions are large and the servers always surprise us with a different starter .,<triplet> portions <opinion> large <sentiment> positive
The wine list is excellent .,<triplet> wine list <opinion> excellent <sentiment> positive
The food is amazing ... especially if you get the Chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,<triplet> food <opinion> amazing <sentiment> positive <triplet> selection of wines <opinion> extensive <sentiment> positive
"The place is small and intimate and you may feel a little crowded , but the service is excellent and it 's great for friends out , a romantic date , or a special occassion .",<triplet> service <opinion> excellent <sentiment> positive <triplet> place <opinion> small <sentiment> positive <opinion> intimate <sentiment> positive <opinion> crowded <sentiment> positive
